m,p,Lambda,rescale,model,terms,coeffs,sparsity,loss,R2,rel_L2,cond_G,coeff_err
"[9, 15]","[15, 12]",0.3792690190732246,False,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350210986, 0.11780739352327789, -0.0009988756521576165, 0.006610046532298696, -0.27314300419156967, 0.041542362638223376, -0.003623580568575211, 0.00711004653534943, -0.05761425411185165, -0.09193467295020326, -0.00046782997677834377]",11,1.0,0.44621451501571596,0.7441676443834638,32.80655184447569,1.0415423626382234
"[9, 15]","[15, 12]",0.615848211066026,False,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350210986, 0.11780739352327789, -0.0009988756521576165, 0.006610046532298696, -0.27314300419156967, 0.041542362638223376, -0.003623580568575211, 0.00711004653534943, -0.05761425411185165, -0.09193467295020326, -0.00046782997677834377]",11,1.0,0.44621451501571596,0.7441676443834638,32.80655184447569,1.0415423626382234
"[9, 15]","[15, 12]",1.0,False,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350210986, 0.11780739352327789, -0.0009988756521576165, 0.006610046532298696, -0.27314300419156967, 0.041542362638223376, -0.003623580568575211, 0.00711004653534943, -0.05761425411185165, -0.09193467295020326, -0.00046782997677834377]",11,1.0,0.44621451501571596,0.7441676443834638,32.80655184447569,1.0415423626382234
"[14, 22]","[12, 10]",0.0001,True,u_{t} = + 0.00(1) + 0.01(u) - 0.00(u^2) + 0.01(u)_{x} - 0.48(u^2)_{x} - 0.93(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.01(u^2)_{xxx} - 0.94(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.0005446342171614913, 0.005905363977678719, -0.00030401435386913166, 0.0051381137286023015, -0.4802045206480574, -0.9314837737240776, -0.004478518210106381, 0.006437515894993456, -0.005661815683813085, -0.9365119003842433, -0.0003651936075883123]",11,1.0,0.9476076099843102,0.2288921539210288,50.58711330820087,0.06851622627592235
"[14, 22]","[12, 10]",0.0001623776739188721,True,u_{t} = + 0.00(1) + 0.01(u) - 0.00(u^2) + 0.01(u)_{x} - 0.48(u^2)_{x} - 0.93(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.01(u^2)_{xxx} - 0.94(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.0005446342171614913, 0.005905363977678719, -0.00030401435386913166, 0.0051381137286023015, -0.4802045206480574, -0.9314837737240776, -0.004478518210106381, 0.006437515894993456, -0.005661815683813085, -0.9365119003842433, -0.0003651936075883123]",11,1.0,0.9476076099843102,0.2288921539210288,50.58711330820087,0.06851622627592235
"[14, 22]","[12, 10]",0.00026366508987303583,True,u_{t} = + 0.00(1) + 0.01(u) - 0.00(u^2) + 0.01(u)_{x} - 0.48(u^2)_{x} - 0.93(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.01(u^2)_{xxx} - 0.94(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.0005446342171614913, 0.005905363977678719, -0.00030401435386913166, 0.0051381137286023015, -0.4802045206480574, -0.9314837737240776, -0.004478518210106381, 0.006437515894993456, -0.005661815683813085, -0.9365119003842433, -0.0003651936075883123]",11,1.0,0.9476076099843102,0.2288921539210288,50.58711330820087,0.06851622627592235
"[14, 22]","[12, 10]",0.00042813323987193956,True,u_{t} = + 0.00(1) + 0.01(u) - 0.00(u^2) + 0.01(u)_{x} - 0.48(u^2)_{x} - 0.93(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.01(u^2)_{xxx} - 0.94(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.0005446342171614913, 0.005905363977678719, -0.00030401435386913166, 0.0051381137286023015, -0.4802045206480574, -0.9314837737240776, -0.004478518210106381, 0.006437515894993456, -0.005661815683813085, -0.9365119003842433, -0.0003651936075883123]",11,1.0,0.9476076099843102,0.2288921539210288,50.58711330820087,0.06851622627592235
"[14, 22]","[12, 10]",0.0006951927961775606,True,u_{t} = + 0.00(1) + 0.01(u) - 0.00(u^2) + 0.01(u)_{x} - 0.48(u^2)_{x} - 0.93(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.01(u^2)_{xxx} - 0.94(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.0005446342171614913, 0.005905363977678719, -0.00030401435386913166, 0.0051381137286023015, -0.4802045206480574, -0.9314837737240776, -0.004478518210106381, 0.006437515894993456, -0.005661815683813085, -0.9365119003842433, -0.0003651936075883123]",11,1.0,0.9476076099843102,0.2288921539210288,50.58711330820087,0.06851622627592235
"[14, 22]","[12, 10]",0.0011288378916846883,True,u_{t} = + 0.00(1) + 0.01(u) - 0.00(u^2) + 0.01(u)_{x} - 0.48(u^2)_{x} - 0.93(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.01(u^2)_{xxx} - 0.94(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.0005446342171614913, 0.005905363977678719, -0.00030401435386913166, 0.0051381137286023015, -0.4802045206480574, -0.9314837737240776, -0.004478518210106381, 0.006437515894993456, -0.005661815683813085, -0.9365119003842433, -0.0003651936075883123]",11,1.0,0.9476076099843102,0.2288921539210288,50.58711330820087,0.06851622627592235
"[14, 22]","[12, 10]",0.0018329807108324356,True,u_{t} = + 0.00(1) + 0.01(u) - 0.00(u^2) + 0.01(u)_{x} - 0.48(u^2)_{x} - 0.93(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.01(u^2)_{xxx} - 0.94(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.0005446342171614913, 0.005905363977678719, -0.00030401435386913166, 0.0051381137286023015, -0.4802045206480574, -0.9314837737240776, -0.004478518210106381, 0.006437515894993456, -0.005661815683813085, -0.9365119003842433, -0.0003651936075883123]",11,1.0,0.9476076099843102,0.2288921539210288,50.58711330820087,0.06851622627592235
